000,004,011,025,038,062,078,090,098,103,107;29.13
000,001,007,020,034,054,071,083,094,102,110;4.48
000,002,013,022,036,058,074,086,098,106,108;11.28
000,003,006,015,061,041,064;75.31
000,002,007,020,035,053,067,079,094,099,110;71.84
000,001,010,008,021,033,054,071,086,098,104;72.61
000,001,010,008,021,033,053,070,086,097;57.11
000,001,010,008,017,032,050,067,079,094,099,107;42.59
000,004,009,020,035,054,074,086,095,104;46.42
000,003,011,022,035,056,071,086,098,106,109;23.74
000,004,013,024,038,062,078,090,098,105;71.03
000,001,007,019,032,049,063,079,091,102,110;76.76
000,002,005,008,017,032,050,067,082,091,099,107;55.77
000,002,007,030,050,070,083,094,099,108;25.00
000,003,006,015,028,041,063,079,094,101;25.62
000,003,011,023,038,060,075,090,095,105;39.85
000,002,010,008,017,031,049,066,079,094,101;24.84
000,001,010,008,017,029,041,066,082,091,102,110;65.35
000,004,013,022,036,056,071,083,091,100;92.67
000,003,009,020,035,054,074,083,094,102,108;83.64
000,002,007,020,034,053,070,083,094,101;84.42
000,001,010,008,015,061,041,066,079,091,101;70.06
000,002,005,008,020,034,054,074,083,091,102,110;41.79
000,001,010,018,031,049,066,082,094,099,108;75.72
000,004,013,024,038,062,078,087,098,103,107;76.16
000,002,013,025,040,062,075,090,095,103,109;49.31
000,003,009,020,036,058,075,090,096;79.89
000,003,012,023,037,058,074,083,091,099,109;85.02
000,002,010,018,030,049,063,082,091,102,107;97.78
000,002,010,021,035,053,067,079,094,101;69.08
000,002,013,023,040,062,075,090,095,103,110;39.62
000,004,013,025,040,062,078,088;71.88
000,001,010,008,017,031,052,070,083,094,102,107;73.13
000,003,006,017,029,048,066,082,091,101;70.26
000,002,005,015,028,041,063,082,091,101;54.33
000,004,011,022,033,053,067,082,091,102,108;21.11
000,004,013,022,036,058,075,087,098,103,108;97.89
000,002,005,008,020,034,054,071,086,098,105;87.50
000,001,010,008,021,036,058,074,086,098,106,109;44.45
000,002,013,022,036,056,071,086,095,106,108;51.95
000,004,013,022,035,053,067,082,091,102,110;75.17
000,004,011,022,034,054,074,086,098,106,107;37.14
000,004,009,018,029,048,063,079,091,101;22.67
000,003,009,019,031,052,070,086,098,106,108;17.43
000,003,012,025,038,060,075,087,098,106,109;81.86
000,004,012,024,037,056,074,083,091,102,108;59.72
000,004,013,023,037,058,075,087,098,103,108;76.34
000,003,011,022,034,054,074,083,091,102,107;1.94
000,003,009,019,034,053,069;57.85
000,004,012,024,037,056,074,083,094,102,107;54.70
000,004,012,022,036,056,074,086,095,103,108;7.95
000,004,009,019,031,052,067,082,091,100;36.23
000,004,009,018,031,050,067,079,094,102,108;27.67
000,001,010,008,015,061,041,066,082,091,102,110;66.47
000,004,012,025,040,062,078,090,097;5.43
000,001,005,008,020,033,053,070,083,094,099,108;1.95
000,001,010,018,031,050,067,082,091,099,108;27.08
000,001,010,021,034,054,071,083,094,099,110;37.22
000,004,013,022,035,053,067,082,094,102,109;37.10
000,001,005,008,020,035,053,070,086,095,106,108;39.25
000,002,007,020,033,053,067,079,094,099,110;45.37
000,003,012,024,038,060,078,090,095,105;46.55
000,004,012,024,038,060,075,087,095,103,110;79.49
000,004,011,022,036,058,074,086,095,106,107;77.57
000,004,012,022,034,054,074,084;82.17
000,004,013,022,035,053,067,079,094,102,108;81.87
000,001,005,008,021,034,053,067,079,091,102,108;51.61
000,001,006,016,028,048,066,082,091,099,110;75.38
000,003,011,024,037,056,071,086,098,106,109;36.25
000,001,005,008,020,034,054,074,086,095,106,108;27.10
000,003,011,023,037,058,074,083,091,102,110;71.28
000,003,011,022,035,053,067,082,091,102,109;21.95
000,004,012,023,037,058,075,090,095,103,107;80.09
000,004,009,020,033,053,067,082,094,099,107;96.77
000,004,009,021,035,053,067,079,092;68.02
000,004,009,021,033,055;29.00
000,004,012,023,040,060,078,087,095,103,108;0.68
000,001,005,008,017,031,052,070,083,091,099,109;75.33
000,003,011,025,038,060,078,087,098,103,108;55.06
000,004,013,022,033,054,071,085;66.99
000,003,006,016,061,041,063,082,094,102,110;51.63
000,003,009,020,036,056,074,086,098,105;77.38
000,001,010,008,017,031,052,070,086,095,104;8.21
000,003,009,021,034,053,067,082,094,102,110;73.91
000,002,005,008,015,061,048,063,079,094,099,107;64.70
000,004,013,025,040,060,075,087,097;58.68
000,002,007,020,036,058,073;34.89
000,002,010,016,028,041,066,082,091,101;53.67
000,001,005,008,021,034,053,067,082,091,099,107;64.81
000,001,005,008,020,033,054,071,083,094,102,110;32.84
000,001,006,016,061,048,063,079,093;49.14
000,002,007,020,034,053,070,083,094,102,109;26.44
000,002,013,022,035,054,074,083,091,099,107;19.68
000,004,013,025,037,058,074,086,095,105;16.21
000,003,009,019,029,048,066,082,091,099,109;28.64
